Name,Team,Name,Team,Season,Age,W,L,ERA,G,IP,K/9,vFA (pi),ERA,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,NameASCII,PlayerId,MLBAMID
"Logan Gilbert","SEA","Logan Gilbert","SEA",2024,27,9,12,3.2348244388482548,33,208.2,9.488818353954882,96.76760925876727,3.2348244388482548,0.3234714,96.61382114,0.32018409,88.50410678,0.1035503,92.38095238,0.11801446,83.29329609,,,0.13477975,84.52926829,,,"Logan Gilbert",22250,669302
"Logan Webb","SFG","Logan Webb","SFG",2024,27,13,10,3.473941540743131,33,204.2,7.563518291238209,92.83568188968121,3.473941540743131,0.454375,92.61898212,0.2125,83.82205882,0.025,90.9,,,0.308125,87.39756592,,,,,"Logan Webb",17995,657277
"Luis Castillo","SEA","Luis Castillo","SEA",2024,31,11,12,3.6444867977385083,30,175.1,8.9828899944259,95.69790248054474,3.6444867977385083,0.63378804,95.62230812,0.22315495,85.71003135,,,,,0.14305701,88.08801956,,,,,"Luis Castillo",15689,622491
"Luis Severino","NYM","Luis Severino","NYM",2024,30,11,7,3.9065934065934065,31,182,7.961538461538462,96.34099673000988,3.9065934065934065,0.59861592,95.97283237,0.24221453,85.67571429,0.08373702,92.75619835,,,0.07543253,86.1559633,,,,,"Luis Severino",15890,622663
"MacKenzie Gore","WSN","MacKenzie Gore","WSN",2024,25,10,12,3.895791702294717,32,166.1,9.79358747382422,96.12840411888956,3.895791702294717,0.55344021,96.05431503,0.15698063,90.74893617,,,0.19706079,82.91186441,0.09251837,85.90974729,,,,,"MacKenzie Gore",22201,669022
"Max Fried","ATL","Max Fried","ATL",2024,30,11,10,3.2523901522515013,29,174.1,8.569789924980146,94.21763107416879,3.2523901522515013,0.49384504,93.78445748,0.15821868,83.798627,,,0.21107893,74.69468268,0.13685735,85.77777778,,,,,"Max Fried",13743,608331
"Michael King","SDP","Michael King","SDP",2024,29,13,9,2.9539348328033785,31,173.2,10.416507041990862,93.8029189648717,2.9539348328033785,0.52227979,93.31547619,0.17823834,82.06589147,0.0552677,85.75625,,,0.24421416,86.73408769,,,,,"Michael King",19853,650633
"Michael Wacha","KCR","Michael Wacha","KCR",2024,32,13,8,3.3480002043457158,29,166.2,7.830000477905303,93.75292179927303,3.3480002043457158,0.39085319,93.64011799,0.07993851,83.88942308,0.12528824,88.54601227,0.08147579,75.23584906,0.32244427,81.27056019,,,,,"Michael Wacha",14078,608379
"Miles Mikolas","STL","Miles Mikolas","STL",2024,35,10,11,5.3475731324174385,32,171.2,6.396116883871838,93.39575892857142,5.3475731324174385,0.5109138,92.8826937,0.28375879,85.73533246,,,0.12097669,76.30275229,0.08435072,85.64473684,,,,,"Miles Mikolas",9803,571945
"Mitch Keller","PIT","Mitch Keller","PIT",2024,28,11,12,4.247191011235955,31,178,8.393258426966293,94.52347448224852,4.247191011235955,0.52755353,93.99135063,0.15654616,82.98430493,0.21726922,89.17609047,0.0951211,78.38745387,0.00351,89.4,,,,,"Mitch Keller",17594,656605
