Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Sonny Gray","STL",13,9,0,28,28,166.1,10.983968271747605,2.1102205054096386,1.1362725798359592,0.29876543209876544,0.67917206,0.423076923,0.142857142,92.57662771507665,3.8416834842072904,3.67,3.124395608666241,2.819376976380927,3.8375203609466553,"Sonny Gray",12768,543243
"Jameson Taillon","CHC",12,8,0,28,28,165.1,6.804435693200502,1.7963710230049326,1.1431451964576844,0.2686868686868687,0.7629256,0.400785854,0.101941747,92.54225017289073,3.266129132736241,4.05,3.9225281886454066,4.155232218072615,2.2940022945404053,"Jameson Taillon",11674,592791
"Seth Lugo","KCR",16,9,0,33,33,206.2,7.882258452495868,2.090322683534816,0.6967742278449386,0.2766323024054983,0.75141777,0.441624365,0.073732718,92.34196428571428,3.004838857581298,3.75,3.2487378468548225,3.8298950890902206,4.706625938415527,"Seth Lugo",12447,607625
"JP Sears","OAK",11,13,0,32,32,180.2,6.824723631501913,2.440959547033531,1.3948340268763033,0.27169811320754716,0.72522983,0.372727272,0.108108108,92.25301067073171,4.383764084468382,4.43,4.710760308045702,4.863584175754567,1.1758387088775635,"JP Sears",23429,676664
"Sean Manaea","NYM",12,6,0,32,32,181.2,9.115596840708145,3.1211010921989844,1.0403670307329949,0.24511930585683298,0.74178935,0.37605042,0.102439024,92.2266050054407,3.4678901024433157,3.75,3.8325348614574795,4.035993900054773,2.7768120765686035,"Sean Manaea",15873,640455
"Nestor Cortes","NYY",9,10,0,31,30,174.1,8.363288734179452,2.0133843248950534,1.239005738396956,0.2869022869022869,0.76429405,0.310621242,0.098360655,92.05567741687933,3.768642454290741,3.62,3.8376078865881462,4.164166497803895,3.1466338634490967,"Nestor Cortes",17874,641482
"Shota Imanaga","CHC",15,3,0,29,29,173.1,9.034615649725566,1.4538461965075624,1.4019231180608638,0.26406926406926406,0.80168776,0.372427983,0.122171945,91.9415578358209,2.907692393015125,3.39,3.720325948387914,3.6231366634688884,3.0420305728912354,"Shota Imanaga",33829,684007
"Brady Singer","KCR",9,13,0,32,32,179.2,8.515770426494786,2.705009429592461,1.1020408787228546,0.30237154150197626,0.77809798,0.471264367,0.144736842,91.73305708586626,3.7068647738859655,4.65,3.9345688755814816,3.6219080661112044,2.4820363521575928,"Brady Singer",25377,663903
"Bailey Ober","MIN",12,9,0,31,31,178.2,9.621269204510886,2.166044899444859,1.3600747043025858,0.24660633484162897,0.70652174,0.33548387,0.115384615,91.7146841561284,3.9794778385149736,3.22,3.8157335465988487,3.831460975046075,2.93318772315979,"Bailey Ober",21224,641927
"Kyle Gibson","STL",8,8,0,30,30,169.2,8.00982366294778,3.607072907817543,1.220039365879463,0.28991596638655465,0.70717131,0.447580645,0.13372093,91.61108265027322,4.243615185667697,4.87,4.421882604049823,4.192405846893454,1.4605357646942139,"Kyle Gibson",10123,502043
"Patrick Corbin","WSN",6,13,0,32,32,174.2,7.1622141575828815,2.7824429101401122,1.2881680139537557,0.3370165745856354,0.65652174,0.46332737,0.136612021,91.37990046121988,5.616412540838375,5.53,4.414571454031656,4.138030626887474,1.7494186162948608,"Patrick Corbin",9323,571578
"Jose Quintana","NYM",10,10,0,31,31,170.1,7.133072620043151,3.328767222686804,1.1624266491922173,0.26337448559670784,0.7815735,0.474,0.125714285,90.80221940313506,3.751467822393065,4.52,4.563740093985491,4.438112718935702,1.0495022535324097,"Jose Quintana",11423,500779
"Austin Gomber","COL",5,12,0,30,30,165,6.327272727272727,2.0727272727272728,1.6363636363636365,0.2896281800391389,0.73142857,0.379888268,0.135135135,90.53192259933775,4.745454545454545,5.07,4.833146444956462,4.503848664236791,1.2269408702850342,"Austin Gomber",16561,596295
"Tyler Anderson","LAA",10,15,0,31,31,179.1,7.126394254163841,3.6635688771405666,1.204461000703748,0.2581888246628131,0.75831703,0.374074074,0.104803493,89.70206429503916,3.8141265022285347,4.37,4.660903612496297,4.8518883299472595,1.6293970346450806,"Tyler Anderson",12880,542881
"Corbin Burnes","BAL",15,9,0,32,32,194.1,8.38250450755895,2.2229846207891137,1.0188679511950105,0.2693032015065913,0.75461455,0.481751824,0.116402116,,2.917667314785712,3.34,3.547268810554597,3.5460831610000634,3.73838472366333,"Corbin Burnes",19361,669203
"Cristopher Sánchez","PHI",11,9,0,31,31,181.2,7.579816938197533,2.179816635821513,0.5449541589553782,0.3131868131868132,0.71225071,0.573770491,0.093220338,,3.319266240910031,3.56,2.995837566899727,3.1907934967201372,4.686849594116211,"Cristopher Sanchez",20778,650911
